record_id,record_type,podcast,episode_key,episode_title,platform,source_account,relationship,text,reply_text,likes,reposts,views,replies_count,date,duration_min,topic,source_url,youtube_url,verification_level,retrieval_status,notes
EP_RAHAN_01,episode_metadata,رهان,RAHAN_01,نحو فطرة سليمة : التحصين ضد الشذوذ | بودكاست رهان,YouTube/Apple,مدهال,official episode,نحو فطرة سليمة : التحصين ضد الشذوذ | بودكاست رهان,,479,,18171,,2023-10-18,,قضايا اجتماعية / الأسرة / القيم,https://www.youtube.com/watch?v=uKkZxX-vMYs,https://www.youtube.com/watch?v=uKkZxX-vMYs,VERIFIED_PUBLIC,Recovered,Verified public metadata
EP_RAHAN_02,episode_metadata,رهان,RAHAN_02,هوس القروض: هل تقسط ثمن قهوتك؟ | بودكاست رهان,YouTube/Apple,مدهال,official episode,هوس القروض: هل تقسط ثمن قهوتك؟ | بودكاست رهان,,72,,4860,,2023-10-26,,القروض / الثقافة المالية / الديون,https://www.youtube.com/watch?v=WI6nCT5OMfk,https://www.youtube.com/watch?v=WI6nCT5OMfk,VERIFIED_PUBLIC,Recovered,Verified public metadata
EP_RAHAN_03,episode_metadata,رهان,RAHAN_03,سلامة عقلك: صوتك الداخلي ماذا يخبرك؟ | بودكاست رهان,YouTube/Apple,مدهال,official episode,سلامة عقلك: صوتك الداخلي ماذا يخبرك؟ | بودكاست رهان,,188,,9144,,2023-11-15,,الصحة النفسية / الحوار الداخلي / الوعي,https://www.youtube.com/watch?v=IcpXa-vJumQ,https://www.youtube.com/watch?v=IcpXa-vJumQ,VERIFIED_PUBLIC,Recovered,Verified public metadata
EP_SO_01,episode_metadata,SO,SO_01,Dr. Goetz: Between Ambition and Reality in Saudi Arabia – A Rich Experience and a Renewed Identity,YouTube/Apple,مدهال,official episode,Dr. Goetz: Between Ambition and Reality in Saudi Arabia – A Rich Experience and a Renewed Identity,,,,,,2025-04-29,44,الطموح / الهوية / تجربة العيش في السعودية,https://podcasts.apple.com/sa/podcast/so/id1758735087,,VERIFIED_PUBLIC,Recovered,Verified on Apple Podcasts; public YouTube/X item not recovered
EP_SO_02,episode_metadata,SO,SO_02,"The Brazilian Pro Lidiane in Saudi Arabia – A Story of Respect, Challenge, and Art",YouTube/Apple,مدهال,official episode,"The Brazilian Pro Lidiane in Saudi Arabia – A Story of Respect, Challenge, and Art",,,,2945,,2025-04-13,42,الرياضة / التحدي / تجربة السعودية,https://podcasts.apple.com/sa/podcast/so/id1758735087,https://www.youtube.com/watch?v=su2w_PEslIs,VERIFIED_PUBLIC,Recovered,Verified Apple metadata + public YouTube result
EP_SO_03,episode_metadata,SO,SO_03,"Delgado: Saudi Arabia, the Land of Opportunities for Athletes.",YouTube/Apple,مدهال,official episode,"Delgado: Saudi Arabia, the Land of Opportunities for Athletes.",,,,,,2025-02-11,47,الرياضة / الفرص / السعودية,https://podcasts.apple.com/sa/podcast/so/id1758735087,https://www.youtube.com/watch?v=bYNBhSmpCPw,VERIFIED_PUBLIC,Recovered,Verified Apple metadata + YouTube link recovered from public X mirror
X_RAHAN_01_001,x_post,رهان,RAHAN_01,نحو فطرة سليمة : التحصين ضد الشذوذ | بودكاست رهان,X,@Medhalpodcast,official account,ضيفتنا في هذه الحلقة من بودكاست «رهان» الدكتورة الهنوف الحقيل مستشارة اجتماعية…,,6,4,4400,2,,,قضايا اجتماعية / الأسرة / القيم,https://x.com/Medhalpodcast,https://www.youtube.com/watch?v=uKkZxX-vMYs,VERIFIED_INDEXED,Recovered/partial,"Historic indexed X result exposed 2 replies, 4 reposts, 6 likes and 4.4K views. Individual reply bodies and old status URL were not publicly recoverable."
X_SO_02_001,x_post,SO,SO_02,"The Brazilian Pro Lidiane in Saudi Arabia – A Story of Respect, Challenge, and Art",X,@saudiatv,related amplification tagging @Medhalpodcast,الرياضية المحترفة Lidiane De Silva حققت حلمي بالسعودية. التفاصيل بحلقة جديدة من بودكاست SO / Pro athlete Lidiane De Silva achieved my dream in Saudi. More in a new Podcast SO episode.,,,,3000,,,,الرياضة / التحدي / تجربة السعودية,https://twstalker.com/hashtag/%23SO_podcast,https://www.youtube.com/watch?v=su2w_PEslIs,PUBLIC_MIRROR,Recovered/partial,Public mirror result; only views retained from the clearly positioned 4th counter. Other counters preserved raw without labels.
X_SO_02_002,x_post,SO,SO_02,"The Brazilian Pro Lidiane in Saudi Arabia – A Story of Respect, Challenge, and Art",X,@SBC_Channel,related amplification tagging @Medhalpodcast,الرياضية المحترفة Lidiane De Silva حققت حلمي بالسعودية. التفاصيل بحلقة جديدة من بودكاست SO / Pro athlete Lidiane De Silva achieved my dream in Saudi. More in a new Podcast SO episode.,,,,1000,,,,الرياضة / التحدي / تجربة السعودية,https://twstalker.com/hashtag/%23SO_podcast,https://www.youtube.com/watch?v=su2w_PEslIs,PUBLIC_MIRROR,Recovered/partial,Public mirror result; only views retained from the clearly positioned 4th counter.
X_SO_03_001,x_post,SO,SO_03,"Delgado: Saudi Arabia, the Land of Opportunities for Athletes.",X,@SBC_Channel,related amplification tagging @Medhalpodcast,السعودية أرض الأحلام. ديلجادو يكشف سر نجاحه وأهمية أكاديمية النصر. / Saudi dreams & Delgado’s success at Al Nassr.,,,,1000,,,,الرياضة / الفرص / السعودية,https://twstalker.com/hashtag/%23SO_podcast,https://www.youtube.com/watch?v=bYNBhSmpCPw,PUBLIC_MIRROR,Recovered/partial,Public mirror result; only views retained from the clearly positioned 4th counter.
